employee_id,company_id,country,industry,company_size,employment_type,role,years_experience,years_at_company,remote_ratio,total_comp_usd
E000078,C023,US,AI,Enterprise,Full-time,DevOps Engineer,0,0,50,217554.0
E000079,C057,ES,EdTech,Startup,Full-time,Data Engineer,5,4,100,49319.57
E000080,C067,UK,AI,Mid,Full-time,Software Engineer,11,6,0,110013.92
E000081,C095,US,Consulting,Startup,Full-time,Data Engineer,19,8,75,223792.0
E000082,C044,CA,Consulting,Enterprise,Full-time,Security Engineer,9,7,100,85098.53
E000083,C017,ES,Cybersecurity,Mid,Full-time,Data Scientist,10,6,50,67859.78
E000084,C084,DE,FinTech,Mid,Full-time,Software Engineer,19,4,0,103273.91
E000085,C063,IN,EdTech,Enterprise,Full-time,Security Engineer,11,6,100,57262.89
E000086,C071,DE,Cybersecurity,Mid,Full-time,ML Engineer,8,4,50,130509.78
E000087,C010,UK,HealthTech,Mid,Full-time,Senior Software Engineer,3,3,100,136726.58
E000088,C032,FR,Consulting,Large,Full-time,Software Engineer,6,4,100,112453.26
E000089,C077,NL,EdTech,Enterprise,Full-time,Security Engineer,19,10,25,207654.35
E000090,C084,DE,Cybersecurity,Large,Full-time,Product Manager,17,7,25,173339.13
E000091,C044,CA,Cloud,Startup,Contract,Engineering Manager,19,8,0,192600.0
E000092,C081,CA,Consulting,Large,Full-time,Product Manager,11,8,50,150558.09
E000093,C085,FR,AI,Mid,Full-time,Senior Software Engineer,5,2,0,155307.61
E000094,C039,IN,Cloud,Large,Full-time,Product Manager,5,1,100,63295.84
E000095,C090,CA,FinTech,Mid,Full-time,Product Manager,6,0,100,125850.74
E000096,C029,US,AI,Enterprise,Full-time,Data Engineer,4,4,25,223619.0
E000097,C024,DE,E-commerce,Large,Full-time,ML Engineer,14,1,100,205276.09
E000098,C069,IN,Gaming,Enterprise,Full-time,Engineering Manager,16,2,100,71682.14
E000099,C064,IN,Cloud,Mid,Full-time,Software Engineer,5,3,75,24215.13
E000100,C014,AE,HealthTech,Enterprise,Full-time,ML Engineer,15,0,50,246368.39
E000101,C084,US,AI,Startup,Full-time,Product Manager,0,0,0,226458.0
E000102,C020,IN,Cybersecurity,Enterprise,Full-time,Senior Software Engineer,2,2,50,48113.76
E000103,C081,DE,Cybersecurity,Large,Full-time,Data Engineer,13,7,0,138483.7
E000104,C001,IN,Gaming,Startup,Full-time,Software Engineer,15,10,0,36701.36
E000105,C080,NL,Cloud,Mid,Full-time,Data Scientist,4,1,100,107527.17
E000106,C079,DE,E-commerce,Large,Full-time,Data Scientist,19,4,0,143221.74
E000107,C079,IN,EdTech,Mid,Full-time,Security Engineer,3,3,75,38485.54
E000108,C067,UK,Gaming,Enterprise,Full-time,QA Engineer,18,6,0,150121.52
E000109,C048,DE,E-commerce,Enterprise,Full-time,Software Engineer,16,0,100,145672.83
E000110,C071,US,Consulting,Mid,Full-time,Software Engineer,4,4,0,150474.0
E000111,C028,IN,HealthTech,Enterprise,Full-time,Software Engineer,10,4,100,32380.06
E000112,C079,NL,Cloud,Large,Full-time,Data Scientist,3,1,25,111800.0
E000113,C056,FR,Gaming,Startup,Full-time,Product Manager,20,0,50,130116.3
E000114,C046,IN,EdTech,Large,Full-time,Security Engineer,14,10,0,69643.37
E000115,C051,ES,E-commerce,Large,Full-time,Software Engineer,17,9,0,91808.7
E000116,C057,UK,FinTech,Enterprise,Full-time,Product Manager,12,8,50,212279.75
E000117,C004,CA,EdTech,Enterprise,Full-time,ML Engineer,8,1,100,155045.59
E000118,C014,IN,Cloud,Enterprise,Full-time,Software Engineer,4,4,100,38789.27
E000119,C025,US,HealthTech,Mid,Full-time,Data Engineer,10,1,50,176153.0
E000120,C012,FR,EdTech,Large,Full-time,Software Engineer,12,8,25,117541.3
E000121,C044,IN,AI,Large,Full-time,QA Engineer,20,10,100,38921.66
E000122,C067,SG,Cloud,Enterprise,Full-time,Senior Software Engineer,4,2,75,227735.56
E000123,C066,US,HealthTech,Mid,Full-time,ML Engineer,7,3,0,179959.0
E000124,C048,UK,Cybersecurity,Startup,Full-time,Software Engineer,18,0,100,221615.19
E000125,C086,FR,E-commerce,Mid,Full-time,Senior Software Engineer,3,3,100,123450.0
E000126,C057,CA,Gaming,Mid,Full-time,Software Engineer,5,2,0,104503.68
E000127,C008,ES,Cloud,Enterprise,Full-time,ML Engineer,2,2,75,80871.74
E000128,C077,US,EdTech,Large,Full-time,Product Manager,15,10,0,277017.0
E000129,C058,AE,E-commerce,Startup,Full-time,Data Scientist,3,0,25,102874.39
E000130,C064,SG,AI,Mid,Full-time,Software Engineer,14,0,0,128352.59
E000131,C057,CA,Cloud,Mid,Contract,Data Scientist,6,3,50,89643.38
E000132,C056,US,FinTech,Enterprise,Full-time,Software Engineer,2,2,25,168733.0
E000133,C010,CA,EdTech,Startup,Full-time,Software Engineer,12,4,0,94126.47
E000134,C056,IN,E-commerce,Mid,Full-time,Software Engineer,0,0,100,27075.76
E000135,C080,ES,EdTech,Startup,Full-time,Engineering Manager,17,6,50,161895.65
E000136,C031,FR,Cloud,Enterprise,Full-time,ML Engineer,15,1,50,170530.43
E000137,C061,US,HealthTech,Large,Contract,Security Engineer,6,5,50,210630.0
E000138,C004,SG,AI,Mid,Full-time,Product Manager,7,1,0,174126.67
E000139,C035,SG,AI,Enterprise,Full-time,Data Engineer,3,3,100,109598.52
E000140,C044,IN,E-commerce,Startup,Contract,Data Engineer,5,5,100,43696.18
E000141,C099,SG,HealthTech,Enterprise,Full-time,Data Engineer,0,0,50,113608.15
E000142,C022,UK,Gaming,Large,Full-time,Data Engineer,5,5,0,162435.44
E000143,C028,CA,FinTech,Mid,Full-time,QA Engineer,13,6,0,74123.53
E000144,C041,IN,Telecom,Enterprise,Full-time,Software Engineer,13,0,75,49547.94
E000145,C100,US,EdTech,Enterprise,Full-time,Senior Software Engineer,4,2,100,303618.0
E000146,C086,US,Gaming,Mid,Full-time,Data Engineer,11,7,0,149025.0
E000147,C004,SG,E-commerce,Mid,Full-time,Data Scientist,5,5,50,151860.0
E000148,C024,ES,AI,Large,Full-time,Senior Software Engineer,13,4,0,165436.96
E000149,C083,DE,Cloud,Enterprise,Full-time,Software Engineer,11,7,100,119604.35
E000150,C006,FR,FinTech,Mid,Contract,Software Engineer,7,7,50,74068.48
E000151,C086,US,Gaming,Large,Full-time,Software Engineer,14,8,100,215860.0
E000152,C029,NL,HealthTech,Enterprise,Full-time,ML Engineer,3,3,0,117218.48
E000153,C092,NL,Cybersecurity,Mid,Full-time,QA Engineer,0,0,0,53442.39
E000154,C030,IN,Cloud,Mid,Contract,Software Engineer,5,5,75,38935.36
E000155,C044,CA,FinTech,Large,Full-time,Senior Software Engineer,14,8,0,150914.71
E000156,C067,CA,Consulting,Enterprise,Full-time,Senior Software Engineer,5,1,100,229991.91
E000157,C013,US,HealthTech,Mid,Full-time,Senior Software Engineer,17,9,75,232693.0
E000158,C056,DE,EdTech,Startup,Full-time,Data Scientist,3,3,100,90272.83
E000159,C051,IN,Telecom,Startup,Full-time,Software Engineer,12,7,100,44205.02
E000160,C079,CA,Telecom,Mid,Full-time,Software Engineer,9,2,50,101213.24
E000161,C100,US,Telecom,Enterprise,Full-time,Product Manager,15,2,100,328507.0
E000162,C067,CA,EdTech,Large,Full-time,QA Engineer,3,1,100,86102.94
E000163,C041,FR,FinTech,Mid,Full-time,Software Engineer,19,2,25,58478.26
E000164,C041,SG,E-commerce,Startup,Full-time,Product Manager,11,0,100,139353.33
E000165,C042,SG,Telecom,Mid,Full-time,Software Engineer,15,4,100,131954.81
E000166,C082,CA,Cloud,Enterprise,Full-time,Senior Software Engineer,3,3,50,202477.94
E000167,C033,US,E-commerce,Startup,Full-time,Product Manager,8,0,100,244738.0
E000168,C017,SG,Telecom,Mid,Full-time,Senior Software Engineer,1,1,0,94624.44
E000169,C034,UK,AI,Mid,Full-time,Software Engineer,20,7,0,195803.8
E000170,C003,US,Telecom,Large,Full-time,Data Engineer,5,5,100,198279.0
E000171,C011,IN,EdTech,Mid,Full-time,Software Engineer,0,0,0,28195.23
E000172,C010,ES,Cybersecurity,Large,Full-time,Security Engineer,4,4,0,68800.0
E000173,C078,NL,FinTech,Large,Full-time,Product Manager,0,0,75,100848.91
E000174,C073,IN,Cloud,Enterprise,Full-time,Product Manager,3,3,0,43031.19
E000175,C070,FR,Telecom,Enterprise,Full-time,Security Engineer,10,3,0,122343.48
E000176,C047,US,FinTech,Mid,Full-time,Security Engineer,16,2,25,237925.0
E000177,C072,ES,Telecom,Mid,Full-time,Security Engineer,1,1,100,40559.78
E000178,C017,ES,EdTech,Mid,Full-time,Software Engineer,1,1,100,44985.87
E000179,C091,US,AI,Large,Full-time,Data Engineer,15,5,100,159880.0
E000180,C051,IN,Consulting,Large,Full-time,ML Engineer,1,1,75,54883.28
E000181,C094,US,AI,Large,Full-time,ML Engineer,1,1,0,155798.0
E000182,C016,SG,AI,Startup,Full-time,DevOps Engineer,8,3,50,105254.07
E000183,C050,FR,EdTech,Enterprise,Full-time,Senior Software Engineer,17,9,50,253935.87
E000184,C070,ES,HealthTech,Mid,Full-time,ML Engineer,16,5,75,86209.78
E000185,C050,US,AI,Mid,Full-time,Security Engineer,17,8,0,197115.0
E000186,C045,US,Telecom,Enterprise,Full-time,Software Engineer,4,4,100,246094.0
E000187,C017,NL,Cloud,Startup,Full-time,Senior Software Engineer,0,0,75,64266.3
E000188,C039,NL,Gaming,Startup,Full-time,Software Engineer,2,2,25,89233.7
E000189,C024,AE,Telecom,Enterprise,Full-time,QA Engineer,18,9,100,161115.8
E000190,C031,IN,Cloud,Large,Full-time,Software Engineer,4,4,75,45438.66
E000191,C069,ES,E-commerce,Enterprise,Full-time,Software Engineer,20,6,0,66558.7
E000192,C064,US,E-commerce,Startup,Full-time,Data Engineer,17,3,100,148039.0
E000193,C061,FR,EdTech,Startup,Full-time,Product Manager,15,6,100,101093.48
E000194,C037,IN,Consulting,Startup,Full-time,Data Engineer,2,0,50,27623.51
E000195,C096,AE,Consulting,Large,Full-time,Software Engineer,11,2,100,162525.34
E000196,C009,SG,Gaming,Startup,Full-time,QA Engineer,11,5,50,122398.52
E000197,C035,FR,Consulting,Large,Full-time,Software Engineer,8,8,100,109617.39
E000198,C012,UK,FinTech,Large,Full-time,Software Engineer,20,0,100,213382.28
E000199,C034,NL,FinTech,Mid,Full-time,Security Engineer,15,8,0,160836.96
E000200,C097,US,Cybersecurity,Enterprise,Full-time,Product Manager,5,5,100,241811.0
E000201,C037,NL,Cloud,Startup,Full-time,Engineering Manager,5,5,100,166392.39
E000202,C091,ES,AI,Mid,Full-time,QA Engineer,0,0,0,31945.65
E000203,C050,US,Consulting,Startup,Full-time,DevOps Engineer,10,0,100,163230.0
E000204,C070,AE,EdTech,Startup,Full-time,Data Scientist,11,5,0,220933.51
E000205,C046,US,Cybersecurity,Startup,Full-time,Product Manager,0,0,75,181752.0
E000206,C027,IN,Telecom,Mid,Contract,Product Manager,11,4,75,51001.39
E000207,C077,FR,Gaming,Large,Contract,Software Engineer,11,4,100,75422.83
E000208,C097,UK,Telecom,Enterprise,Full-time,Software Engineer,12,6,75,163549.37
E000209,C027,FR,E-commerce,Mid,Contract,Senior Software Engineer,6,2,100,129467.39
E000210,C078,IN,Consulting,Mid,Full-time,QA Engineer,20,6,100,42826.78
E000211,C027,IN,E-commerce,Large,Full-time,Data Engineer,14,1,100,50581.04
E000212,C072,SG,Cybersecurity,Large,Full-time,Software Engineer,8,5,75,112037.78
E000213,C079,US,AI,Enterprise,Full-time,Software Engineer,0,0,100,141887.0
E000214,C045,FR,Gaming,Mid,Full-time,Data Scientist,0,0,50,95793.48
E000215,C074,CA,Cybersecurity,Mid,Full-time,Software Engineer,3,3,0,100022.79
E000216,C028,US,FinTech,Startup,Full-time,Data Scientist,20,6,0,175112.0
E000217,C008,DE,Cybersecurity,Enterprise,Full-time,Software Engineer,4,0,100,84257.61
E000218,C010,US,Consulting,Startup,Full-time,Security Engineer,19,7,100,185461.0
E000219,C045,US,Gaming,Large,Full-time,Security Engineer,11,0,100,257411.0
E000220,C091,US,HealthTech,Enterprise,Full-time,ML Engineer,18,2,100,219712.0
E000221,C013,NL,HealthTech,Large,Full-time,Security Engineer,3,3,25,106096.74
E000222,C046,IN,HealthTech,Startup,Full-time,Software Engineer,4,1,100,28675.87
E000223,C071,AE,EdTech,Mid,Full-time,DevOps Engineer,11,2,50,106085.29
E000224,C021,ES,FinTech,Mid,Full-time,DevOps Engineer,8,8,50,73111.96
E000225,C073,IN,HealthTech,Mid,Full-time,Senior Software Engineer,18,7,100,72619.31
E000226,C031,NL,Consulting,Large,Full-time,Security Engineer,11,10,0,88788.04
E000227,C081,AE,Cloud,Large,Full-time,Senior Software Engineer,13,7,75,238704.63
E000228,C058,DE,FinTech,Mid,Full-time,Senior Software Engineer,8,6,100,112377.17
E000229,C055,AE,Cloud,Large,Full-time,QA Engineer,16,5,100,94641.69
E000230,C018,DE,Cloud,Startup,Contract,Software Engineer,4,4,25,64909.78
E000231,C047,US,EdTech,Mid,Full-time,Data Scientist,16,2,50,217348.0
E000232,C086,ES,Consulting,Large,Full-time,QA Engineer,7,1,50,93521.74
E000233,C002,IN,Cloud,Large,Full-time,Senior Software Engineer,16,1,50,57472.89
E000234,C076,SG,FinTech,Large,Full-time,Data Engineer,6,0,0,165210.37
E000235,C050,US,Cybersecurity,Startup,Full-time,Data Engineer,6,0,100,156699.0
E000236,C072,US,Gaming,Startup,Full-time,DevOps Engineer,12,4,100,190542.0
E000237,C067,FR,Cloud,Enterprise,Full-time,Data Engineer,14,8,0,128525.0
E000238,C044,CA,HealthTech,Enterprise,Full-time,Security Engineer,16,5,0,206871.32
E000239,C031,FR,E-commerce,Enterprise,Full-time,Software Engineer,15,2,50,128259.78
E000240,C063,UK,AI,Mid,Full-time,Product Manager,9,5,100,201297.47
E000241,C015,DE,E-commerce,Mid,Full-time,QA Engineer,8,2,0,145026.09
E000242,C059,IN,Cybersecurity,Mid,Full-time,Software Engineer,15,10,75,51781.89
E000243,C010,AE,EdTech,Large,Full-time,Data Engineer,12,1,50,98767.57
E000244,C065,US,AI,Large,Full-time,Data Engineer,2,0,100,218886.0
E000245,C063,SG,HealthTech,Mid,Full-time,Software Engineer,9,3,0,97672.59
E000246,C009,SG,EdTech,Mid,Full-time,Senior Software Engineer,5,5,25,137090.37
E000247,C076,IN,AI,Enterprise,Full-time,ML Engineer,20,1,0,90773.0
E000248,C042,US,FinTech,Mid,Full-time,Senior Software Engineer,14,2,100,293453.0
E000249,C079,IN,FinTech,Enterprise,Full-time,DevOps Engineer,0,0,100,49501.06
E000250,C005,UK,HealthTech,Startup,Full-time,Data Scientist,13,8,100,259945.57
E000251,C018,NL,Consulting,Startup,Full-time,DevOps Engineer,6,6,100,106326.09
E000252,C050,IN,FinTech,Enterprise,Full-time,Senior Software Engineer,0,0,100,61677.08
E000253,C019,US,Cloud,Large,Full-time,Data Scientist,11,9,0,182500.0
E000254,C033,IN,Cybersecurity,Enterprise,Full-time,ML Engineer,13,2,0,46264.75
E000255,C067,AE,EdTech,Startup,Full-time,Software Engineer,2,2,75,114154.5
E000256,C015,US,Telecom,Mid,Full-time,QA Engineer,5,4,75,97501.0
E000257,C068,US,EdTech,Large,Full-time,Product Manager,18,0,100,379187.0
E000258,C011,AE,Consulting,Enterprise,Full-time,DevOps Engineer,2,2,100,117728.07
E000259,C018,SG,E-commerce,Mid,Full-time,Engineering Manager,6,0,0,121408.15
E000260,C059,IN,EdTech,Mid,Full-time,ML Engineer,17,7,0,51347.12
E000261,C080,NL,E-commerce,Startup,Full-time,Data Engineer,18,8,0,169133.7
E000262,C018,IN,AI,Enterprise,Full-time,Product Manager,14,7,0,47940.73
E000263,C030,DE,Cloud,Large,Full-time,Software Engineer,0,0,0,76015.22
E000264,C093,ES,HealthTech,Enterprise,Full-time,ML Engineer,13,9,25,102777.17
E000265,C099,FR,Cloud,Large,Contract,Software Engineer,8,8,0,104954.35
E000266,C059,AE,HealthTech,Enterprise,Full-time,DevOps Engineer,18,2,25,147451.77
E000267,C045,IN,EdTech,Startup,Full-time,Product Manager,2,2,0,55177.64
E000268,C035,IN,EdTech,Mid,Full-time,Senior Software Engineer,11,3,100,40235.55
E000269,C062,US,Consulting,Enterprise,Full-time,Data Scientist,14,8,100,255868.0
E000270,C060,SG,E-commerce,Enterprise,Contract,QA Engineer,3,3,100,108488.15
E000271,C030,FR,Consulting,Large,Full-time,Product Manager,2,2,100,75332.61
E000272,C003,FR,HealthTech,Startup,Full-time,DevOps Engineer,17,0,50,106365.22
E000273,C016,UK,Cybersecurity,Startup,Full-time,Product Manager,9,7,75,170327.85
E000274,C096,AE,Consulting,Startup,Full-time,Data Scientist,8,6,100,106908.45
E000275,C042,IN,FinTech,Enterprise,Full-time,Software Engineer,1,1,100,42763.95
E000276,C049,NL,HealthTech,Mid,Full-time,Senior Software Engineer,20,4,100,155075.0
E000277,C047,CA,Cloud,Large,Full-time,Data Engineer,5,5,100,100200.0
E000278,C079,DE,EdTech,Large,Full-time,Senior Software Engineer,15,4,50,204795.65
E000279,C007,FR,EdTech,Enterprise,Full-time,Product Manager,3,0,100,148094.57
E000280,C009,CA,FinTech,Large,Full-time,Data Scientist,15,5,100,160369.12
E000281,C028,CA,Cloud,Large,Contract,Product Manager,17,5,100,97713.24
E000282,C049,IN,Cybersecurity,Mid,Full-time,Software Engineer,20,10,50,29194.83
E000283,C068,US,EdTech,Large,Full-time,Security Engineer,11,10,100,210291.0
E000284,C050,IN,Cloud,Large,Contract,Software Engineer,20,5,100,53620.11
E000285,C045,CA,Gaming,Enterprise,Full-time,Software Engineer,6,6,100,112703.68
E000286,C094,NL,HealthTech,Mid,Full-time,Software Engineer,19,1,100,147764.13
E000287,C017,IN,HealthTech,Startup,Full-time,Data Scientist,11,3,25,34367.24
E000288,C058,US,HealthTech,Large,Full-time,Software Engineer,18,10,100,303225.0
E000289,C055,IN,HealthTech,Large,Full-time,Data Scientist,11,4,50,61403.12
E000290,C048,SG,Consulting,Large,Full-time,ML Engineer,16,10,100,229207.41
E000291,C081,DE,Consulting,Large,Full-time,Software Engineer,0,0,0,82483.7
E000292,C027,US,Telecom,Mid,Full-time,Software Engineer,1,1,0,122061.0
E000293,C096,IN,Gaming,Mid,Full-time,Security Engineer,6,5,75,40079.61
E000294,C034,FR,FinTech,Enterprise,Full-time,Senior Software Engineer,19,10,100,115183.7
E000295,C055,ES,Cloud,Mid,Full-time,Senior Software Engineer,8,3,100,82720.65
E000296,C053,NL,Gaming,Large,Full-time,Data Scientist,17,2,75,119681.52
E000297,C085,IN,Cybersecurity,Large,Contract,QA Engineer,1,1,0,38553.46
E000298,C044,ES,EdTech,Startup,Full-time,Data Engineer,8,0,0,60429.35
E000299,C029,US,EdTech,Large,Full-time,Senior Software Engineer,7,6,75,226546.0
E000300,C003,AE,Telecom,Large,Contract,DevOps Engineer,15,10,75,196759.13
E000301,C037,NL,FinTech,Enterprise,Full-time,Software Engineer,11,8,100,130923.91
E000302,C083,UK,Telecom,Mid,Contract,Software Engineer,6,3,75,149779.75
E000303,C001,CA,Consulting,Enterprise,Full-time,Software Engineer,4,4,0,105968.38
E000304,C090,CA,Telecom,Large,Full-time,Product Manager,2,0,0,111985.29
E000305,C055,NL,Cybersecurity,Enterprise,Full-time,Software Engineer,15,9,0,133722.83
E000306,C015,US,Gaming,Enterprise,Contract,Product Manager,0,0,0,160711.0
E000307,C031,IN,HealthTech,Large,Full-time,Product Manager,16,5,100,74472.17
E000308,C056,IN,Cybersecurity,Mid,Full-time,Product Manager,10,7,100,59393.98
E000309,C032,US,FinTech,Mid,Full-time,DevOps Engineer,17,9,50,315984.0
E000310,C011,ES,AI,Large,Full-time,Data Scientist,3,3,0,54553.26
E000311,C067,IN,Cloud,Mid,Full-time,ML Engineer,14,8,0,36479.41
E000312,C068,IN,Cybersecurity,Mid,Full-time,Senior Software Engineer,12,1,0,96160.53
E000313,C012,IN,E-commerce,Large,Full-time,ML Engineer,2,2,100,49573.54
E000314,C029,NL,FinTech,Large,Full-time,Engineering Manager,15,5,25,305371.74
E000315,C025,ES,EdTech,Enterprise,Full-time,Security Engineer,3,3,100,71829.35
E000316,C066,IN,Gaming,Startup,Full-time,Data Scientist,15,9,75,44416.06
E000317,C074,ES,AI,Mid,Full-time,Security Engineer,14,9,100,118870.65
E000318,C073,IN,FinTech,Mid,Full-time,ML Engineer,5,5,75,56073.54
E000319,C094,AE,Consulting,Mid,Full-time,ML Engineer,10,10,100,173273.84
E000320,C077,NL,FinTech,Startup,Full-time,Senior Software Engineer,7,7,100,116902.17
E000321,C033,IN,Cybersecurity,Mid,Full-time,QA Engineer,14,10,25,44195.88
E000322,C011,US,AI,Large,Full-time,Product Manager,20,0,100,266822.0
E000323,C062,US,E-commerce,Large,Full-time,Data Scientist,5,5,0,167469.0
E000324,C092,FR,Telecom,Large,Full-time,Software Engineer,0,0,0,48694.57
E000325,C098,CA,Telecom,Enterprise,Full-time,QA Engineer,15,7,100,131769.12
